model_name,tags,model_price,Input,Output
doubao-seed-1-6-vision-250815,"Chat, multimodal",0,1.6,12.8
doubao-seedance-1-0-lite-i2v-250428,"Async,Video Generation",10,0,0
doubao-seedance-1-0-lite-t2v-250428,"Async,Video Generation",10,0,0
doubao-seedance-1-0-pro-250528,"Async,Video Generation",15,0,0
doubao-seedance-1-0-pro-fast-251015,"Video Generation,Async",4.2,0,0
doubao-seededit-3-0-i2i-250628,Image Generation,0.1,0,0
doubao-seedream-3-0-t2i-250415,Image Generation,0.1,0,0
doubao-seedream-4-0-250828,Image Generation,0.24,0,0
doubao-seedream-4-5-251128,,0.24,0,0
fal-ai/bytedance/seedream/v4/edit,"Image Generation,Async",0.12,0,0
fal-ai/bytedance/seedream/v4/text-to-image,"Image Generation,Async",0.12,0,0
fal-ai/flux-1/dev,"Image Generation,Async",0.1,0,0
fal-ai/flux-1/dev/image-to-image,"Image Generation,Async",0.1,0,0
fal-ai/flux-1/dev/redux,"Image Generation,Async",0.1,0,0
fal-ai/flux-1/schnell,"Image Generation,Async",0.012,0,0
fal-ai/flux-1/schnell/redux,"Image Generation,Async",0.012,0,0
fal-ai/flux-lora,"Image Generation,Async",0.14,0,0
fal-ai/flux-pro/kontext,"Image Generation,Async",0.16,0,0
fal-ai/flux-pro/kontext/max,"Image Generation,Async",0.32,0,0
fal-ai/flux-pro/kontext/max/multi,"Image Generation,Async",0.32,0,0
fal-ai/flux-pro/kontext/max/text-to-image,"Image Generation,Async",0.32,0,0
fal-ai/flux-pro/kontext/multi,"Image Generation,Async",0.16,0,0
fal-ai/flux-pro/kontext/text-to-image,"Image Generation,Async",0.16,0,0
fal-ai/nano-banana,"Image Generation,Async",0.156,0,0
fal-ai/nano-banana/edit,"Image Generation,Async",0.156,0,0
fal-ai/qwen-image,"Image Generation,Async",0,75,75
fal-ai/qwen-image-edit,"Image Generation,Async",0,75,75
fal-ai/recraft/v3/text-to-image,"Async,Image Generation",0,75,75
fal-ai/recraft/vectorize,"Async,Image Generation",0,75,75
flux-2-flex,,0.12,0,0
flux-2-pro,,0.12,0,0
flux-dev,Image Generation,0.08,0,0
flux-kontext-apps/multi-image-kontext-max,"Image Generation,Async",0.4,0,0
flux-kontext-apps/multi-image-kontext-pro,"Image Generation,Async",0.2,0,0
flux-kontext-max,Image Generation,0.48,0,0
flux-kontext-pro,Image Generation,0.24,0,0
flux-pro,Image Generation,0.15,0,0
flux-pro-1.1-ultra,Image Generation,0.5,0,0
flux-pro-max,Image Generation,0.3,0,0
flux-schnell,Image Generation,0.05,0,0
flux.1-dev,Image Generation,0.075,0,0
flux.1-kontext-dev,Image Generation,0.06,0,0
flux.1-kontext-pro,Image Generation,0.12,0,0
flux.1.1-pro,Image Generation,0.3,0,0
gemini-2.0-flash,"Chat,Vision",0,0.1,0.4
gemini-2.0-flash-001,"Chat,Vision",0,0.15,0.6
gemini-2.0-flash-lite,"Chat,Vision",0,0.075,0.3
gemini-2.0-flash-lite-001,"Chat,Vision",0,0.075,0.3
gemini-2.0-flash-preview-image-generation,Image Generation,0.04,0,0
gemini-2.5-flash,"Chat,Vision,Thinking",0,0.3,2.502
gemini-2.5-flash-all,"Networking, multimodal, Chat",0,0.3,2.4
gemini-2.5-flash-image,Image Generation,0.15,0,0
gemini-2.5-flash-image-preview,Image Generation,0.15,0,0
gemini-2.5-flash-lite,"Chat,Vision,Thinking",0,0.1,0.4
gemini-2.5-flash-lite-nothinking,"Chat,Vision",0,0.1,0.4
gemini-2.5-flash-lite-preview-06-17,"Chat,Vision,Thinking",0,0.1,0.4
gemini-2.5-flash-lite-preview-06-17-nothinking,"Chat,Vision",0,0.1,0.4
gemini-2.5-flash-lite-preview-06-17-thinking,"Chat,Vision,Thinking",0,0.1,0.4
gemini-2.5-flash-lite-preview-09-2025,"Chat,Vision,thinking",0,0.1,0.4
gemini-2.5-flash-lite-thinking,"Chat,Vision,Thinking",0,0.1,0.4
gemini-2.5-flash-nothinking,,0,0.3,2.502
gemini-2.5-flash-preview-09-2025,"Chat,Vision,thinking",0,0.3,2.505
gemini-2.5-flash-preview-09-2025-nothinking,,0,0.3,2.505
gemini-2.5-flash-preview-09-2025-thinking,,0,0.3,2.505
gemini-2.5-flash-preview-09-2025-thinking-*,,0,0.3,2.505
gemini-2.5-flash-thinking,,0,0.3,2.502
gemini-2.5-flash-thinking-*,,0,0.3,2.502
gemini-2.5-pro,"Chat,Vision,Thinking",0,1.25,10
gemini-2.5-pro-all,"Networking, multimodal, Chat",0,2.5,20
gemini-2.5-pro-nothinking,,0,1.25,10
gemini-2.5-pro-thinking,,0,1.25,10
gemini-2.5-pro-thinking-*,,0,1.25,10
gemini-flash-latest,"Chat,Vision,thinking",0,0.3,2.505
gemini-flash-latest-nothinking,,0,0.3,2.505
gemini-flash-latest-thinking,,0,0.3,2.505
gemini-flash-latest-thinking-*,,0,0.3,2.505
gemini-flash-lite-latest,"Chat,Vision,thinking",0,0.1,0.4
gemini-flash-lite-latest-nothinking,,0,0.1,0.4
